Event	ID	Name			Wwise Object Path	Notes
	372282906	Slide_Grass_Start			\Default Work Unit\Movement\Slide\Slide_Grass_Start	
	377821069	WallJump			\Default Work Unit\Movement\WallJump	
	674522502	Land			\Default Work Unit\Movement\Land	
	712161704	Run			\Default Work Unit\Movement\Run	
	1626612047	Forrest_Ambience			\Default Work Unit\Ambience\Forrest_Ambience	
	1784391046	Forrest_Music_Calm			\Default Work Unit\Music\Forrest_Music_Calm	
	1941804606	LedgeGrab			\Default Work Unit\Movement\LedgeGrab	
	2512384458	Fall			\Default Work Unit\Movement\Fall	
	2655407367	Crouch			\Default Work Unit\Movement\Crouch	
	3202311090	WallLand			\Default Work Unit\Movement\WallLand	
	3833651337	Jump			\Default Work Unit\Movement\Jump	
	3877024505	Slide_Grass_End			\Default Work Unit\Movement\Slide\Slide_Grass_End	

Effect plug-ins	ID	Name	Type				Notes
	620959188	Forrest Ambience	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\Forrest_atmosphere_07851B0A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Forrest Ambience		25727220
	643236160	Ledge Rocks	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\ESM_Fantasy_Game_Material_Stone_Magic_Debris_Hit_2_Dry_Magic_RPG_Apothecary_Ancient_Medieval_Element_Accent_Impact_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Ledge grab\Ledge Rocks		384160
	644015757	Crouch	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\xfchiba_crouching_2_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Crouch		203636
	689091618	Fall Base layer	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\ESM_FG_nature_loop_ambience_winter_wind_1_snow_gusty_storm_intense_44268465.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Fall\Fall Base layer		23808096
	706669504	Forrest Music Calm	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\20241019_SS_RedHood_MAP01-Ambience_V1_2mix.wav_Stereo Out_36B1664C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\Forrest Music Calm		22049892
	730329172	xfchiba_walking_sprinting_0	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\xfchiba_walking_sprinting_0_B72AE97E.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Walk\xfchiba_walking_sprinting_0		44180
	740173626	Ledge Transient	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\ESM_War_UI_Source_Hit_Leather_Catchers_Glove_Grab_Hit_06_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Ledge grab\Ledge Transient		43336
	763072178	Jump_ground	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\ESM_GF_fx_gravel_one_shots_footstep_boots_dry_jumping_crunchy_exterior_3_9CB682DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Jump\Jump_ground		76364
	802950490	Jump_wall	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\ESM_GF_fx_gravel_one_shots_footstep_boots_dry_jumping_crunchy_exterior_5_6920DCBB.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Jump\Jump_wall		63428
	803527269	Ledge random	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\ESM_Stone_Debris_Splatter_9_Organic_Elemental_Debris_Shatter_Splatter_Foley_Sound_Design_Source_Rock__EBC2A9DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Ledge grab\Ledge random		686924
	811143617	xfchiba_walking_sprinting_4	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\xfchiba_walking_sprinting_4_513E182B.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Walk\xfchiba_walking_sprinting_4		44076
	1063940447	Fall Riser	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\ESM_Wind_Loop_Rocky_Mountian_Steady_Medium_1_82B2DF5A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Fall\Fall Riser		4152240

